Finding,Assignee,Status,CSP,Severity,Tier,EnvType,EnvFriendlyName,EnvId,CreatedTime,FindingId,FindingIdShort,Region,ExecutionTeam,EstEffort,Tags
EC2.9 EC2 instances should not have a public IPv4 address,,not started,AWS,High,Tier 1,Prod,account-hma-gita-prd,696796209136,2025-02-28,arn:aws:securityhub:us-west-2:696796209136:subscription/aws-foundational-security-best-practices/v/1.0.0/EC2.9/finding/8d6dfbf0-e2a3-48b4-9745-e94b242feb5c,8d6dfbf0-e2a,us-west-2,AWS Platform Ops,1.0,Software and Configuration Checks/Industry and Regulatory Standards/AWS-Foundational-Security-Best-Practices
EC2.18 Security groups should only allow unrestricted incoming traffic for authorized ports,,not started,AWS,High,Tier 1,Prod,account-hma-gita-prd,696796209136,2025-02-28,arn:aws:securityhub:us-west-2:696796209136:subscription/aws-foundational-security-best-practices/v/1.0.0/EC2.18/finding/2f2f6e43-4fa4-4ad6-9e9d-448f2492e49f,2f2f6e43-4fa,us-west-2,AWS Platform Ops,1.0,Software and Configuration Checks/Industry and Regulatory Standards/AWS-Foundational-Security-Best-Practices
EC2.18 Security groups should only allow unrestricted incoming traffic for authorized ports,,not started,AWS,High,Tier 1,Prod,account-hma-gita-prd,696796209136,2025-02-28,arn:aws:securityhub:us-west-2:696796209136:subscription/aws-foundational-security-best-practices/v/1.0.0/EC2.18/finding/fd2bc322-5210-49b1-968a-ec0563707ac6,fd2bc322-521,us-west-2,AWS Platform Ops,1.0,Software and Configuration Checks/Industry and Regulatory Standards/AWS-Foundational-Security-Best-Practices
EC2.18 Security groups should only allow unrestricted incoming traffic for authorized ports,,not started,AWS,High,Tier 1,Prod,account-hma-gita-prd,696796209136,2025-02-28,arn:aws:securityhub:us-west-2:696796209136:subscription/aws-foundational-security-best-practices/v/1.0.0/EC2.18/finding/d8189ffd-59ce-4452-bf80-14e2f431d629,d8189ffd-59c,us-west-2,AWS Platform Ops,1.0,Software and Configuration Checks/Industry and Regulatory Standards/AWS-Foundational-Security-Best-Practices
EC2.18 Security groups should only allow unrestricted incoming traffic for authorized ports,,not started,AWS,High,Tier 1,Prod,account-hma-gita-prd,696796209136,2025-02-28,arn:aws:securityhub:us-west-2:696796209136:subscription/aws-foundational-security-best-practices/v/1.0.0/EC2.18/finding/d575b434-2c7e-4106-946a-1122549136d5,d575b434-2c7,us-west-2,AWS Platform Ops,1.0,Software and Configuration Checks/Industry and Regulatory Standards/AWS-Foundational-Security-Best-Practices
EC2.18 Security groups should only allow unrestricted incoming traffic for authorized ports,,not started,AWS,High,Tier 1,Prod,account-hma-gita-prd,696796209136,2025-02-28,arn:aws:securityhub:us-west-2:696796209136:subscription/aws-foundational-security-best-practices/v/1.0.0/EC2.18/finding/351c2b17-f75e-4c04-89b9-e3dba0fdf1f0,351c2b17-f75,us-west-2,AWS Platform Ops,1.0,Software and Configuration Checks/Industry and Regulatory Standards/AWS-Foundational-Security-Best-Practices
EC2.19 Security groups should not allow unrestricted access to ports with high risk,,not started,AWS,Critical,Tier 1,Prod,account-hma-gita-prd,696796209136,2025-02-28,arn:aws:securityhub:us-west-2:696796209136:subscription/aws-foundational-security-best-practices/v/1.0.0/EC2.19/finding/17e4801e-3db9-43a6-9efa-3bfe93000490,17e4801e-3db,us-west-2,AWS Platform Ops,1.5,Software and Configuration Checks/Industry and Regulatory Standards/AWS-Foundational-Security-Best-Practices
GuardDuty.7 GuardDuty EKS Runtime Monitoring should be enabled,,not started,AWS,High,Tier 1,Prod,account-hma-gita-prd,696796209136,2025-02-28,arn:aws:securityhub:us-west-2:696796209136:subscription/aws-foundational-security-best-practices/v/1.0.0/GuardDuty.7/finding/8a79101d-1620-4c94-bed9-0d0b11a30ac1,8a79101d-162,us-west-2,AWS Platform Ops,1.0,Software and Configuration Checks/Industry and Regulatory Standards/AWS-Foundational-Security-Best-Practices
ElastiCache.2 ElastiCache clusters should have automatic minor version upgrades enabled,,not started,AWS,High,Tier 1,Prod,account-hma-gita-prd,696796209136,2025-02-28,arn:aws:securityhub:us-west-2:696796209136:subscription/aws-foundational-security-best-practices/v/1.0.0/ElastiCache.2/finding/f2c02616-66da-49bd-a269-9f9d25b46b83,f2c02616-66d,us-west-2,AWS Platform Ops,1.0,Software and Configuration Checks/Industry and Regulatory Standards/AWS-Foundational-Security-Best-Practices
ElastiCache.2 ElastiCache clusters should have automatic minor version upgrades enabled,,not started,AWS,High,Tier 1,Prod,account-hma-gita-prd,696796209136,2025-02-28,arn:aws:securityhub:us-west-2:696796209136:subscription/aws-foundational-security-best-practices/v/1.0.0/ElastiCache.2/finding/eb3e1fa8-88f5-41ce-8839-d76cd1ab3e28,eb3e1fa8-88f,us-west-2,AWS Platform Ops,1.0,Software and Configuration Checks/Industry and Regulatory Standards/AWS-Foundational-Security-Best-Practices
GuardDuty.11 GuardDuty Runtime Monitoring should be enabled,,not started,AWS,High,Tier 1,Prod,account-hma-gita-prd,696796209136,2025-02-28,arn:aws:securityhub:us-west-2:696796209136:subscription/aws-foundational-security-best-practices/v/1.0.0/GuardDuty.11/finding/ddfd3418-07fb-4145-94e9-c48b1fe5580c,ddfd3418-07f,us-west-2,AWS Platform Ops,1.0,Software and Configuration Checks/Industry and Regulatory Standards/AWS-Foundational-Security-Best-Practices
Config.1 AWS Config should be enabled and use the service-linked role for resource recording,,not started,AWS,Critical,Tier 1,Prod,account-hma-gita-prd,696796209136,2025-03-11,arn:aws:securityhub:us-west-1:696796209136:subscription/aws-foundational-security-best-practices/v/1.0.0/Config.1/finding/b8733246-242d-44a1-8a09-b6a166be3184,b8733246-242,us-west-1,CCoE,1.5,Software and Configuration Checks/Industry and Regulatory Standards/AWS-Foundational-Security-Best-Practices
EC2.8 EC2 instances should use Instance Metadata Service Version 2 (IMDSv2),,not started,AWS,High,Tier 1,Prod,account-hma-gita-prd,696796209136,2025-02-28,arn:aws:securityhub:us-west-2:696796209136:subscription/aws-foundational-security-best-practices/v/1.0.0/EC2.8/finding/473cac74-0981-48f4-aa4d-7ac27b88eee2,473cac74-098,us-west-2,AWS Platform Ops,1.0,Software and Configuration Checks/Industry and Regulatory Standards/AWS-Foundational-Security-Best-Practices
